epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57841,0.89994,3.21954,1.34702,0.00338,1,0.21106,0.10774,0.28984,3.6408,1.13231,0,0,0
2,13.3314,0.9434,3.1624,1.32286,0.00338,1,0.21408,0.11046,0.28099,3.63827,1.13382,1.40071e-05,1.40071e-05,1.40071e-05
3,18.9667,0.79113,3.08191,1.24178,0.00339,1,0.15952,0.088,0.28579,3.6533,1.12273,2.74482e-05,2.74482e-05,2.74482e-05
4,24.4345,0.71255,3.07778,1.15988,0.00337,1,0.17636,0.10263,0.29238,3.65514,1.12035,4.03235e-05,4.03235e-05,4.03235e-05
5,29.9135,0.75364,3.02039,1.22543,0.00336,1,0.14004,0.09945,0.2979,3.63446,1.15009,5.26329e-05,5.26329e-05,5.26329e-05
6,35.4885,0.59514,3.00241,1.10119,0.00334,1,0.18242,0.14427,0.32708,3.61502,1.12883,6.43764e-05,6.43764e-05,6.43764e-05
7,41.0955,0.63636,3.06306,1.04487,0.00334,1,0.23217,0.19557,0.33869,3.61078,1.1377,7.55541e-05,7.55541e-05,7.55541e-05
8,46.6285,0.6177,2.90398,1.13391,0.00334,1,0.28744,0.23631,0.32735,3.62985,1.14481,8.61658e-05,8.61658e-05,8.61658e-05
9,52.0382,0.54307,2.77209,1.0905,0.00334,1,0.34272,0.28771,0.34896,3.61601,1.11051,9.62117e-05,9.62117e-05,9.62117e-05
10,57.4843,0.60541,2.7668,1.10369,0.00334,1,0.50856,0.47207,0.34158,3.61973,1.12957,0.000105692,0.000105692,0.000105692
11,62.9917,0.4804,2.63973,1.0555,0.00334,1,0.56383,0.5174,0.33417,3.59374,1.13124,0.000114606,0.000114606,0.000114606
12,68.7336,0.56297,2.60011,1.08474,0.00334,1,0.58042,0.52238,0.32983,3.54666,1.09071,0.000122954,0.000122954,0.000122954
13,74.4028,0.55165,2.46557,1.07803,0.00334,1,0.56383,0.52735,0.32319,3.53458,1.07345,0.000130736,0.000130736,0.000130736
14,80.1006,0.60252,2.48597,1.03944,0.00334,1,0.60806,0.5514,0.33916,3.52155,1.0778,0.000137953,0.000137953,0.000137953
15,86.7304,0.49464,2.27959,0.99306,0.00334,1,0.60806,0.54725,0.37026,3.49191,1.08408,0.000144603,0.000144603,0.000144603
16,92.8821,0.64124,2.21361,1.07267,0.00334,1,0.4975,0.43117,0.39507,3.44342,1.11605,0.000150688,0.000150688,0.000150688
17,98.5563,0.53082,2.1757,0.97917,0.00334,1,0.4975,0.43117,0.44178,3.41315,1.15887,0.000156207,0.000156207,0.000156207
18,104.419,0.44488,1.96205,0.96042,0.00334,1,0.4975,0.43117,0.44178,3.41315,1.15887,0.00016116,0.00016116,0.00016116
19,109.931,0.5063,1.9621,1.00839,0.00334,1,0.66333,0.58042,0.49186,3.42004,1.19561,0.000165547,0.000165547,0.000165547
20,115.56,0.51212,1.99553,0.96098,0.00334,1,0.66333,0.58042,0.49186,3.42004,1.19561,0.000169368,0.000169368,0.000169368
21,121.01,0.50815,1.83941,0.99687,0.00334,1,0.66333,0.61358,0.52332,3.44123,1.20539,0.000172623,0.000172623,0.000172623
22,126.37,0.43523,1.76169,0.98433,0.00334,1,0.66333,0.61358,0.52332,3.44123,1.20539,0.000175313,0.000175313,0.000175313
23,132.084,0.59611,1.93727,1.04847,0.00334,1,0.60806,0.4975,0.64171,3.43807,1.31708,0.000177436,0.000177436,0.000177436
24,137.756,0.53,1.75801,1.05137,0.00334,1,0.60806,0.4975,0.64171,3.43807,1.31708,0.000178994,0.000178994,0.000178994
25,143.129,0.5369,1.92076,1.09717,0.00334,1,0.60806,0.44287,0.73744,3.43552,1.3916,0.000179985,0.000179985,0.000179985
26,148.373,0.44901,1.69191,0.96491,0.00334,1,0.60806,0.44287,0.73744,3.43552,1.3916,0.000180411,0.000180411,0.000180411
27,154.156,0.53413,1.6534,1.0897,0.00335,1,0.60806,0.45813,0.75748,3.47492,1.41492,0.000180271,0.000180271,0.000180271
28,159.617,0.41052,1.33134,0.93886,0.00335,1,0.60806,0.45813,0.75748,3.47492,1.41492,0.000179565,0.000179565,0.000179565
29,164.994,0.5219,1.45874,0.98771,0.00337,1,0.60806,0.45407,0.81294,3.45146,1.45125,0.000178293,0.000178293,0.000178293
30,170.478,0.58501,1.64002,1.08538,0.00337,1,0.60806,0.45407,0.81294,3.45146,1.45125,0.000176456,0.000176456,0.000176456
31,175.806,0.53072,1.59461,1.08279,0.00338,1,0.60806,0.45198,0.84354,3.46307,1.5017,0.000174052,0.000174052,0.000174052
32,181.044,0.52821,1.48434,1.02199,0.00338,1,0.60806,0.45198,0.84354,3.46307,1.5017,0.000171083,0.000171083,0.000171083
33,186.466,0.45623,1.56524,0.97116,0.00341,1,0.77389,0.58187,0.83148,3.49353,1.54946,0.000167547,0.000167547,0.000167547
34,191.67,0.49442,1.27857,1.01625,0.00341,1,0.77389,0.58187,0.83148,3.49353,1.54946,0.000163446,0.000163446,0.000163446
35,196.996,0.39694,1.34311,0.98724,0.00343,1,0.77389,0.57529,0.7996,3.53309,1.54484,0.000158779,0.000158779,0.000158779
36,202.184,0.37336,1.32966,0.97769,0.00343,1,0.77389,0.57529,0.7996,3.53309,1.54484,0.000153546,0.000153546,0.000153546
37,207.485,0.50023,1.2849,0.95712,0.00344,1,0.66461,0.56422,0.77868,3.55387,1.57297,0.000147747,0.000147747,0.000147747
38,212.716,0.42555,1.42571,0.93979,0.00344,1,0.66461,0.56422,0.77868,3.55387,1.57297,0.000141382,0.000141382,0.000141382
39,218.106,0.46947,1.24752,0.99986,0.00344,1,0.66454,0.59736,0.75876,3.6496,1.59102,0.000134452,0.000134452,0.000134452
40,223.563,0.4059,1.13971,0.96222,0.00344,1,0.66454,0.59736,0.75876,3.6496,1.59102,0.000126955,0.000126955,0.000126955
41,229.116,0.32671,1.67426,0.91638,0.00346,1,0.66453,0.56419,0.82321,3.61367,1.6501,0.000118893,0.000118893,0.000118893
